player_id,first_name,surname,team,col4_unknown,af,sc,proj_af,proj_low,proj_sc,kicks,handballs,marks,tackles,hitouts,goals,behinds,frees_for,frees_against,status,tag_primary,blurb_template,tag_secondary,matchup_note,col24_unknown,col25_unknown,col26_unknown,col27_unknown,position,jumper,col30_unknown,col31_unknown,col32_unknown,col33_pct,col34_pct,col35_pct,col36_unknown,col37_unknown,col38_unknown,clangers,col40_unknown,col41_unknown,de_pct,tog_pct,col44_unknown,col45_unknown,af_q1,sc_q1,af_q2,sc_q2,af_q3,sc_q3,af_q4,sc_q4,col54_unknown,col55_unknown,col56_unknown,col57_unknown,col58_unknown,col59_unknown,col60_unknown,col61_unknown,col62_unknown,col63_unknown,col64_unknown
1002227,Jack,Higgins,SK,0,10,17,12,8,10,2,1,0,0,0,1,0,0,1,Q1 19:39,pocket,%s from %P... Starting forward,,,,,,,Forward,1,0,0,0,0.04,0.49,0.41,,,,2,1,1,66,68,31,0,10,17,0,0,0,0,0,0,1,3,0,0,0,0,0,1,1,0,0
1008312,Liam,Stocker,SK,0,10,11,14,7,9,1,0,1,1,0,0,0,0,0,Q1 19:39,guard,In defence,,,,,,,Back,14,0,0,0,0.04,0.26,0.16,,,,0,0,0,100,72,48,0,10,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1036769,Charlie,Banfield,SK,0,10,8,14,6,9,2,0,0,1,0,0,0,0,0,Q1 19:39,rookie,First game... %P,wing,Rotating in midfield,,,,,,36,0,0,0,0.0,1.28,4.19,,,,1,0,0,0,70,60,0,10,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0
1013233,Jack,Carroll,SK,0,9,7,12,6,9,1,1,0,1,0,0,0,0,0,Q1 19:39,guard,%P... Playing a half back role,,,,,,,Forward,18,0,0,0,3.32,24.93,8.12,,,,0,0,0,50,71,60,0,9,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1023784,Anthony,Caminiti,SK,6,9,9,11,9,12,2,0,0,0,0,0,1,1,0,Q1 19:39,spearhead,%s from %P... In attack on Miller,,,,,,,Forward,47,0,0,0,0.18,0.13,0.16,,,,0,0,1,50,88,19,1,9,9,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
1001028,Jack,Silvagni,SK,0,8,12,10,7,9,1,1,1,0,0,0,0,0,0,Q1 19:39,job,%P... In defence on Fawcett,,,,0,,,Forward,3,14,48,0,0.0,0.22,0.72,,,,1,0,0,50,100,36,0,8,12,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1027875,Darcy,Wilson,SK,0,7,21,8,6,9,1,2,0,0,0,0,0,0,0,Q1 19:39,wing,%P... Starting at half forward,,,,,,,Midfielder,22,0,0,0,39.02,1.6,1.32,,,,2,0,0,66,85,50,1,7,21,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
1035198,Liam,O'Connell,SK,0,6,8,8,5,6,1,0,1,0,0,0,0,0,0,Q1 19:39,guard,Rotating in defence,,,,,,,Back,45,0,0,0,1.02,0.17,0.15,,,,1,0,0,100,77,4,0,6,8,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
992468,Rowan,Marshall,SK,0,4,13,4,6,9,0,2,0,0,3,0,1,0,0,Q1 19:39,ruckfwd,%H... also %P... Starting forward on Grayand tandem rucking with De Koning,,,,,,,Ruck,19,0,0,0,9.26,0.94,1.34,,,,2,1,1,50,50,-4,0,4,13,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
1005988,Liam,Henry,SK,0,3,7,4,2,3,1,0,0,0,0,0,0,0,0,Q1 19:39,wing,Playing a HFF role,,,,,,,Midfielder,23,0,0,0,0.35,0.2,0.09,,,,1,0,0,100,49,25,0,3,7,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
