round_num,venue,date,year,attendance,team_1_team_name,team_1_q1_goals,team_1_q1_behinds,team_1_q2_goals,team_1_q2_behinds,team_1_q3_goals,team_1_q3_behinds,team_1_final_goals,team_1_final_behinds,team_2_team_name,team_2_q1_goals,team_2_q1_behinds,team_2_q2_goals,team_2_q2_behinds,team_2_q3_goals,team_2_q3_behinds,team_2_final_goals,team_2_final_behinds
9,Docklands,2025-05-01 19:30,2025,35439,Essendon,6,1,7,5,8,7,9,11,North Melbourne,2,3,3,4,8,6,9,8
9,Docklands,2025-05-02 19:40,2025,20522,St Kilda,2,2,4,3,8,6,14,10,Fremantle,1,0,1,1,2,3,5,3
9,Eureka Stadium,2025-05-03 13:20,2025,4814,Western Bulldogs,2,1,8,3,15,6,20,11,Port Adelaide,2,4,3,7,5,8,5,11
9,Adelaide Oval,2025-05-03 15:45,2025,46057,Adelaide,5,3,8,7,13,10,16,14,Carlton,2,2,3,4,5,6,7,8
9,Perth Stadium,2025-05-03 17:35,2025,41991,West Coast,0,5,4,7,6,7,11,10,Melbourne,2,2,3,7,10,12,16,12
9,M.C.G.,2025-05-03 19:35,2025,82514,Collingwood,4,5,7,7,10,10,12,15,Geelong,4,2,6,6,9,9,13,12
9,S.C.G.,2025-05-04 13:10,2025,39260,Sydney,5,4,6,5,8,10,12,15,Greater Western Sydney,2,1,5,5,6,8,10,13
9,M.C.G.,2025-05-04 15:20,2025,62321,Hawthorn,2,5,7,8,11,11,16,13,Richmond,0,3,2,4,4,4,6,8
9,Gabba,2025-05-04 19:20,2025,33612,Brisbane Lions,1,4,4,8,9,9,9,12,Gold Coast,1,1,3,3,4,5,7,7
10,Perth Stadium,2025-05-08 18:10,2025,47780,Fremantle,4,3,7,5,8,8,12,11,Collingwood,5,2,9,3,11,5,15,7
10,M.C.G.,2025-05-09 19:40,2025,65680,St Kilda,4,0,6,4,7,6,9,8,Carlton,4,3,8,6,9,8,11,11
10,M.C.G.,2025-05-10 13:20,2025,50351,Melbourne,2,3,4,10,6,13,7,14,Hawthorn,3,3,5,5,7,8,13,13
10,Docklands,2025-05-10 16:15,2025,43799,Essendon,3,1,9,1,11,4,11,5,Sydney,1,1,2,4,5,10,8,15
10,Marrara Oval,2025-05-10 19:05,2025,9816,Gold Coast,4,5,6,8,12,13,15,16,Western Bulldogs,3,3,5,7,9,9,14,12
10,Adelaide Oval,2025-05-10 19:40,2025,53117,Port Adelaide,3,1,7,3,10,6,12,12,Adelaide,3,4,7,8,10,8,13,11
10,M.C.G.,2025-05-11 13:10,2025,29539,Richmond,3,4,7,7,10,9,11,15,West Coast,2,3,7,6,9,11,11,13
10,Kardinia Park,2025-05-11 15:20,2025,28407,Geelong,3,4,9,8,11,12,14,17,Greater Western Sydney,5,2,9,7,13,7,16,9
10,Bellerive Oval,2025-05-11 16:40,2025,7395,North Melbourne,1,0,3,2,6,6,10,11,Brisbane Lions,2,3,6,4,7,9,10,11
11,Marrara Oval,2025-05-15 19:00,2025,12314,Gold Coast,5,2,9,4,11,6,16,8,Hawthorn,2,0,7,2,12,3,15,6
11,S.C.G.,2025-05-16 19:40,2025,39082,Sydney,3,2,5,3,6,7,11,12,Carlton,4,2,6,4,7,6,9,8
11,M.C.G.,2025-05-17 13:20,2025,67697,Collingwood,4,3,6,7,9,9,11,12,Adelaide,3,2,6,2,7,5,10,8
11,Adelaide Oval,2025-05-17 15:45,2025,35508,Port Adelaide,2,4,3,6,4,9,5,9,Geelong,3,1,5,3,10,9,17,13
11,Sydney Showground,2025-05-17 16:15,2025,8092,Greater Western Sydney,2,4,4,5,4,10,8,13,Fremantle,3,4,5,10,8,15,13,17
11,Docklands,2025-05-17 19:35,2025,47266,Western Bulldogs,7,3,10,8,15,13,18,19,Essendon,0,3,1,3,4,4,5,6
11,M.C.G.,2025-05-18 13:10,2025,54060,Richmond,2,1,6,2,9,6,11,8,North Melbourne,6,0,7,1,10,5,12,6
11,Gabba,2025-05-18 15:20,2025,30473,Brisbane Lions,6,3,8,7,12,9,13,10,Melbourne,3,4,6,6,10,7,14,15
11,Perth Stadium,2025-05-18 14:40,2025,42860,West Coast,4,2,7,5,10,10,16,12,St Kilda,2,2,4,4,6,6,12,8
12,Kardinia Park,2025-05-22 19:30,2025,32641,Geelong,5,1,11,4,16,5,20,7,Western Bulldogs,5,4,6,9,13,13,16,17
12,M.C.G.,2025-05-23 19:40,2025,76051,Essendon,2,1,6,4,9,8,11,15,Richmond,1,2,4,7,7,8,8,10
12,Docklands,2025-05-24 12:35,2025,36468,Carlton,5,1,6,6,9,9,12,10,Greater Western Sydney,5,2,8,4,12,5,17,8
12,M.C.G.,2025-05-24 16:15,2025,57919,Hawthorn,3,1,5,4,7,8,8,12,Brisbane Lions,2,3,9,3,11,5,14,9
12,Docklands,2025-05-24 19:35,2025,40479,North Melbourne,1,3,6,6,8,8,9,9,Collingwood,2,5,4,9,7,17,15,18
12,Perth Stadium,2025-05-24 18:10,2025,40466,Fremantle,3,3,6,6,10,8,15,10,Port Adelaide,3,1,5,4,5,6,7,9
12,Adelaide Oval,2025-05-25 12:40,2025,39271,Adelaide,4,2,8,5,15,12,19,14,West Coast,3,2,5,6,6,9,8,14
12,M.C.G.,2025-05-25 15:20,2025,38520,Melbourne,3,3,6,11,11,15,19,17,Sydney,2,1,4,1,7,3,12,6
12,Docklands,2025-05-25 16:40,2025,13486,St Kilda,1,2,4,4,5,10,8,13,Gold Coast,4,2,9,3,9,5,12,8
13,Gabba,2025-05-29 19:30,2025,26441,Brisbane Lions,6,3,7,9,10,10,13,12,Essendon,1,1,4,1,9,4,11,6
13,M.C.G.,2025-05-30 19:40,2025,83706,Collingwood,4,1,10,3,14,9,16,11,Hawthorn,3,3,6,3,8,5,8,8
13,Carrara,2025-05-31 13:20,2025,11750,Gold Coast,2,1,5,5,7,7,9,10,Fremantle,5,3,6,5,9,8,11,9
13,Sydney Showground,2025-05-31 16:15,2025,9770,Greater Western Sydney,2,1,4,3,7,6,12,8,Richmond,6,5,7,11,10,16,10,17
13,S.C.G.,2025-05-31 19:35,2025,35229,Sydney,1,2,1,4,5,7,5,11,Adelaide,5,3,12,3,18,4,21,5
13,Traeger Park,2025-06-01 14:50,2025,6721,Melbourne,2,2,6,9,7,13,7,21,St Kilda,6,2,9,4,11,6,14,7
13,Perth Stadium,2025-06-01 17:20,2025,42501,West Coast,2,0,7,2,9,4,11,7,Geelong,4,5,8,7,10,9,17,14
14,Docklands,2025-06-05 19:30,2025,35725,Western Bulldogs,1,2,4,5,7,7,8,11,Hawthorn,5,2,8,4,10,5,12,9
14,Adelaide Oval,2025-06-06 19:10,2025,42921,Adelaide,0,6,3,7,5,8,10,8,Brisbane Lions,2,3,5,3,8,7,8,15
14,M.C.G.,2025-06-07 13:20,2025,41452,Richmond,3,4,3,7,3,8,4,12,Sydney,2,4,5,9,9,12,11,14
14,Kardinia Park,2025-06-07 16:15,2025,29502,Geelong,2,2,4,4,6,7,9,7,Gold Coast,0,2,3,3,4,3,5,7
14,Manuka Oval,2025-06-07 19:35,2025,9005,Greater Western Sydney,3,2,6,4,6,4,7,8,Port Adelaide,3,4,5,7,6,11,9,12
14,Hands Oval,2025-06-08 13:20,2025,12715,North Melbourne,3,2,3,3,5,3,9,8,West Coast,0,5,1,8,5,14,6,16
14,M.C.G.,2025-06-08 19:20,2025,74280,Carlton,6,4,8,6,9,8,11,12,Essendon,1,1,4,2,8,3,11,4
14,M.C.G.,2025-06-09 15:20,2025,77761,Melbourne,2,2,4,6,7,8,10,11,Collingwood,2,2,6,2,9,3,11,6
15,Docklands,2025-06-12 19:30,2025,20508,St Kilda,1,4,5,6,7,9,8,12,Western Bulldogs,4,2,10,4,16,9,20,12
15,York Park,2025-06-13 19:40,2025,15129,Hawthorn,0,2,2,4,4,7,6,11,Adelaide,2,3,4,7,4,11,5,14
15,Gabba,2025-06-14 13:20,2025,30711,Brisbane Lions,5,5,9,10,10,13,13,18,Greater Western Sydney,5,0,8,0,12,3,17,5
15,M.C.G.,2025-06-14 16:15,2025,61643,Essendon,2,4,3,7,8,7,8,8,Geelong,6,3,9,6,16,8,23,13
15,Perth Stadium,2025-06-14 17:35,2025,31408,North Melbourne,3,1,4,3,6,5,10,7,Fremantle,2,5,7,6,9,9,10,13
15,Adelaide Oval,2025-06-15 14:50,2025,30144,Port Adelaide,4,4,9,6,11,8,14,9,Melbourne,3,4,5,6,8,11,9,14
15,Perth Stadium,2025-06-15 16:10,2025,43803,West Coast,1,1,3,4,5,7,7,10,Carlton,7,4,10,8,11,11,12,14
16,Perth Stadium,2025-06-19 18:10,2025,37570,Fremantle,3,2,9,3,13,3,16,8,Essendon,2,2,6,5,6,8,9,9
16,Kardinia Park,2025-06-20 19:40,2025,35367,Geelong,1,3,3,5,5,10,6,15,Brisbane Lions,4,2,7,4,11,6,14,8
16,M.C.G.,2025-06-21 13:20,2025,56236,Carlton,2,6,2,7,5,8,10,13,North Melbourne,1,3,7,5,13,6,13,6
16,Adelaide Oval,2025-06-21 15:45,2025,33576,Port Adelaide,0,2,2,4,4,6,7,10,Sydney,1,6,4,10,5,16,9,17
16,Docklands,2025-06-21 19:35,2025,43039,Collingwood,5,1,8,5,12,9,16,12,St Kilda,3,1,6,5,9,6,11,8
16,Sydney Showground,2025-06-22 13:10,2025,10504,Greater Western Sydney,4,1,6,7,8,9,16,10,Gold Coast,7,6,8,8,11,13,14,15
16,Docklands,2025-06-22 15:20,2025,38280,Western Bulldogs,3,3,10,6,15,7,21,9,Richmond,1,3,1,4,3,8,8,8
17,Adelaide Oval,2025-06-26 19:00,2025,30381,Port Adelaide,5,4,8,10,13,11,16,14,Carlton,0,3,1,6,4,9,8,12
17,S.C.G.,2025-06-27 19:40,2025,29246,Sydney,3,5,6,8,12,9,14,12,Western Bulldogs,4,2,8,5,14,6,16,9
17,Carrara,2025-06-28 13:20,2025,13064,Gold Coast,5,7,8,9,14,11,15,14,Melbourne,0,1,5,3,7,7,12,13
17,York Park,2025-06-28 16:15,2025,13287,Hawthorn,5,5,13,8,17,11,23,12,North Melbourne,2,3,5,5,6,7,9,11
17,Docklands,2025-06-28 19:35,2025,38126,Collingwood,1,3,5,5,10,6,13,10,West Coast,2,6,6,7,8,8,8,11
17,M.C.G.,2025-06-29 15:15,2025,23231,Richmond,0,1,2,2,5,2,8,6,Adelaide,2,5,8,7,12,13,18,14
17,Perth Stadium,2025-06-29 15:10,2025,41600,Fremantle,2,2,5,5,6,10,11,15,St Kilda,1,5,4,8,7,12,9,15
18,Docklands,2025-07-03 19:30,2025,25009,North Melbourne,5,2,8,3,12,6,13,7,Western Bulldogs,4,2,10,4,15,10,20,14
18,M.C.G.,2025-07-04 19:20,2025,75827,Carlton,3,3,4,5,6,9,8,11,Collingwood,4,3,8,5,16,9,17,13
18,Perth Stadium,2025-07-04 18:20,2025,38152,West Coast,1,0,3,1,5,2,8,4,Greater Western Sydney,5,3,8,6,13,9,16,15
18,Docklands,2025-07-05 12:35,2025,29672,Essendon,3,0,6,5,11,7,11,8,Gold Coast,3,1,7,3,12,4,18,7
18,Kardinia Park,2025-07-05 16:15,2025,31060,Geelong,3,3,11,9,15,13,18,16,Richmond,1,2,2,4,4,6,7,10
18,Gabba,2025-07-05 19:35,2025,30017,Brisbane Lions,8,4,9,8,14,10,18,12,Port Adelaide,3,2,6,5,10,6,14,8
18,Docklands,2025-07-05 19:40,2025,36035,St Kilda,1,2,3,6,6,10,10,14,Hawthorn,2,5,6,6,11,6,14,10
18,S.C.G.,2025-07-06 13:10,2025,32007,Sydney,3,3,8,5,11,8,14,10,Fremantle,2,3,5,6,10,6,12,11
18,Adelaide Oval,2025-07-06 14:45,2025,43306,Adelaide,2,3,5,8,10,11,13,12,Melbourne,1,6,6,7,8,8,11,11
