player_name,club,position,age,contract_end,games,notes
Tom McDonald,Melbourne,,33,2026,253,Unrestricted FA (AFL.com.au)
Aidan Corr,North Melbourne,,32,2026,178,Restricted FA (AFL.com.au)
Bailey Scott,North Melbourne,,25,2026,113,Unrestricted FA (AFL.com.au)
Callum Coleman-Jones,North Melbourne,,27,2026,36,Off-contract (ZeroHanger)
Cooper Harvey,North Melbourne,,21,2026,11,Off-contract (ZeroHanger)
Luke McDonald,North Melbourne,,31,2026,231,Unrestricted FA (AFL.com.au)
Luke Parker,North Melbourne,,33,2026,328,Off-contract (ZeroHanger)
Toby Pink,North Melbourne,,27,2026,37,Restricted FA (AFL.com.au)
Zane Duursma,North Melbourne,,20,2026,36,Off-contract (ZeroHanger)
Aliir Aliir,Port Adelaide,,31,2026,191,Off-contract (ZeroHanger)
Brandon Zerk-Thatcher,Port Adelaide,,27,2026,90,Off-contract (ZeroHanger)
Darcy Byrne-Jones,Port Adelaide,,30,2026,234,Unrestricted FA (AFL.com.au)
Ivan Soldo,Port Adelaide,,30,2026,65,Off-contract (ZeroHanger)
Jackson Mead,Port Adelaide,,24,2026,68,Off-contract (ZeroHanger)
Jordon Sweet,Port Adelaide,,28,2026,59,Off-contract (ZeroHanger)
Lachlan Jones,Port Adelaide,,24,2026,85,Off-contract (ZeroHanger)
Oliver Wines,Port Adelaide,,31,2026,283,Unrestricted FA (AFL.com.au)
Ollie Lord,Port Adelaide,,24,2026,35,Off-contract (ZeroHanger)
Zak Butters,Port Adelaide,,25,2026,152,Restricted FA (AFL.com.au)
Dion Prestia,Richmond,,33,2026,246,Unrestricted FA (AFL.com.au)
Nathan Broad,Richmond,,33,2026,182,Restricted FA (AFL.com.au)
Thomas Lynch,Richmond,,,2026,,Unrestricted FA (AFL.com.au) | ambiguous repo match (2 files)
Toby Nankervis,Richmond,,31,2026,181,Off-contract (ZeroHanger)
Tyler Sonsie,Richmond,,23,2026,51,Off-contract (ZeroHanger)
Jack Carroll,St Kilda,,,2026,,Restricted FA (AFL.com.au) | ambiguous repo match (2 files)
Liam Stocker,St Kilda,,26,2026,93,Restricted FA (AFL.com.au)
Patrick Said,St Kilda,,,2026,,Restricted FA (AFL.com.au) | stats not in repo
Ryan Byrnes,St Kilda,,25,2026,86,Restricted FA (AFL.com.au)
Dane Rampe,Sydney,,36,2026,280,Unrestricted FA (AFL.com.au)
Harry Cunningham,Sydney,,32,2026,227,Unrestricted FA (AFL.com.au)
Jake Lloyd,Sydney,,32,2026,285,Restricted FA (AFL.com.au)
Joel Amartey,Sydney,,26,2026,75,Restricted FA (AFL.com.au)
Joel Hamling,Sydney,,33,2026,108,Restricted FA (AFL.com.au)
Justin McInerney,Sydney,,25,2026,122,Unrestricted FA (AFL.com.au)
Bailey Williams,West Coast,,,2026,,Restricted FA (AFL.com.au) | ambiguous repo match (2 files)
Harry Schoenberg,West Coast,,25,2026,67,Restricted FA (AFL.com.au)
Jamie Cripps,West Coast,,34,2026,277,Unrestricted FA (AFL.com.au)
Matthew Flynn,West Coast,,28,2026,59,Unrestricted FA (AFL.com.au)
Thomas Cole,West Coast,,29,2026,139,Unrestricted FA (AFL.com.au)
Adam Treloar,Western Bulldogs,,33,2026,263,Off-contract (ZeroHanger)
Buku Khamis,Western Bulldogs,,26,2026,55,Unrestricted FA (AFL.com.au)
Lachlan Bramble,Western Bulldogs,,28,2026,91,Restricted FA (AFL.com.au)
Lachlan McNeil,Western Bulldogs,,25,2026,82,Restricted FA (AFL.com.au)
Oskar Baker,Western Bulldogs,,28,2026,57,Restricted FA (AFL.com.au)
Ryan Gardner,Western Bulldogs,,29,2026,55,Restricted FA (AFL.com.au)
Tom Liberatore,Western Bulldogs,,34,2026,261,Unrestricted FA (AFL.com.au)
