year,pick,player_name,original_club,extracted_school,school_type,grade,games,goals
2016,29,Shai Bolton,Forrestdale JFC / South Fremantle,,unknown,A,171,206
2016,30,Sam McLarty,Yarra Valley Grammar / Beverley Hills / Oakleigh U18,Yarra Valley Grammar,other_private,D,0,0
2016,31,Josh Begley,Upper Ferntree Gully / Eastern U18,,unknown,C,17,15
2016,32,Joe Atley,Rochester / Bendigo U18 / Geelong (VFL),,unknown,D,4,0
2016,33,Willem Drew,Koroit / North Ballarat U18,,unknown,B+,143,23
2016,34,Declan Watson,Aspley / Queensland U18 / Brisbane (NEAFL),,unknown,D,0,0
2016,35,Callum Brown,Bulleen-Templestowe / Marcellin College / Eastern U18,Marcellin College,other_private,C+,70,23
2016,36,Josh Williams,Hermit Park / Surfers Paradise / Queensland U18 / Gold Coast (NEAFL),,unknown,D,2,1
2016,37,Josh Rotham,Whitford JFC / West Perth,,unknown,C+,72,2
2016,38,Sean Darcy,Cobden / Mercy Regional College / Xavier College / Geelong U18,Mercy Regional College,unknown,B+,132,50
2016,39,Josh Battle,Narre Warren / Doveton FC / Haileybury College / Dandenong U18,Haileybury College,APS,A,162,30
2016,40,Tom Stewart,South Barwon / Geelong U18 / Geelong (VFL),,unknown,A+,204,7
2016,41,Brennan Cox,Woodville South / Woodville-West Torrens,,unknown,B+,145,32
2016,42,Kobe Mutch,Gol Gol / NSW-ACT U18 / Bendigo U18 / Western Sydney University,,unknown,D,5,1
2016,43,Esava Ratugolea,Cobram / Murray U18,,unknown,B,118,42
2016,44,Myles Poholke,Sorrento / Padua College / Dandenong U18,Padua College,GPS_QLD,C,16,5
2016,45,Jack Maibaum,Melbourne Grammar / Knox / Eastern U18,Melbourne Grammar,APS,D,0,0
2016,46,Mitch Hannan,Avondale Heights / St Bernards / Footscray (VFL),,unknown,C+,80,76
2016,47,Harrison Macreadie,Henty / NSW-ACT U18 / Greater Western Sydney (NEAFL) / Western Sydney University,,unknown,C,9,0
2016,48,Darcy Cameron,North Albany / Hale School / Claremont,Hale School,GPS_WA,B+,132,70
2016,49,Lewis Young,Mitcham (SA) / Sturt,,unknown,C+,87,9
